"week","cases","cumulative"
"2021-39",1,1
"2021-40",0,1
"2021-41",0,1
"2021-42",1,2
"2021-43",1,3
"2021-44",0,3
"2021-45",1,4
"2021-46",0,4
"2021-47",0,4
"2021-48",4,8
"2021-49",0,8
"2021-50",2,10
"2021-51",1,11
"2021-52",4,15
"2022-01",8,23
"2022-02",8,31
"2022-03",8,39
"2022-04",10,49
"2022-05",10,59
"2022-06",8,67
"2022-07",12,79
"2022-08",7,86
"2022-09",17,103
"2022-10",16,119
"2022-11",18,137
"2022-12",37,174
"2022-13",31,205
"2022-14",28,233
"2022-15",34,267
"2022-16",37,304
"2022-17",39,343
"2022-18",32,375
"2022-19",21,396
"2022-20",24,420
"2022-21",20,440
"2022-22",10,450
"2022-23",17,467
"2022-24",13,480
"2022-25",7,487
"2022-26",9,496
"2022-27",7,503
"2022-28",0,503
"2022-29",2,505
0,0,0
