"ID","tested","n_positive","perc_positive","n_negative","perc_negative","n_indeterminate","perc_indeterminate"
"SARS-CoV-2",392,40,10.2,351,89.5,1,0.3
"Adenovirus",457,236,52,221,48,NA,NA
"CMV",187,10,5.3,176,94.1,1,0.5
"HHV6",182,29,15.9,152,83.5,1,0.5
"EBV",155,17,11,134,86,4,3
"HSV1",136,3,2,133,98,NA,NA
"Influenzavirus",127,8,6,119,94,NA,NA
"Parvovirus",100,2,2,98,98,NA,NA
"RSV",98,2,2,96,98,NA,NA
"Enterovirus",112,23,21,89,79,NA,NA
"HIV",67,NA,NA,67,100,NA,NA
"Mycoplasma",67,2,3,64,96,1,1
"HHV7",70,13,19,57,81,NA,NA
"Parainfluenza",51,6,12,45,88,NA,NA
"Varicella",38,1,3,37,97,NA,NA
"HPeV",36,NA,NA,36,100,NA,NA
"Legionella",18,NA,NA,18,100,NA,NA
"ASOT",17,1,6,16,94,NA,NA
"Bocavirus",12,1,8,11,92,NA,NA
"Leptospira",7,NA,NA,7,100,NA,NA
