"data_bulletin","age","cases"
2022-06-17,0,34
2022-06-17,1,49
2022-06-17,2,52
2022-06-17,3,96
2022-06-17,4,64
2022-06-17,5,46
2022-06-17,6,2
2022-06-17,7,15
2022-06-17,8,12
2022-06-17,9,13
2022-06-17,10,8
2022-06-17,11,5
2022-06-17,12,5
2022-06-17,13,1
2022-06-17,14,6
2022-06-17,15,6
2022-06-17,16,6
2022-07-01,0,42
2022-07-01,1,51
2022-07-01,2,52
2022-07-01,3,98
2022-07-01,4,67
2022-07-01,5,50
2022-07-01,6,20
2022-07-01,7,17
2022-07-01,8,15
2022-07-01,9,13
2022-07-01,10,8
2022-07-01,11,5
2022-07-01,12,5
2022-07-01,13,10
2022-07-01,14,7
2022-07-01,15,7
2022-07-01,16,6
2022-07-29,0,47
2022-07-29,1,56
2022-07-29,2,54
2022-07-29,3,101
2022-07-29,4,72
2022-07-29,5,59
2022-07-29,6,22
2022-07-29,7,18
2022-07-29,8,15
2022-07-29,9,14
2022-07-29,10,7
2022-07-29,11,5
2022-07-29,12,6
2022-07-29,13,12
2022-07-29,14,7
2022-07-29,15,7
2022-07-29,16,6
2022-08-26,0,47
2022-08-26,1,56
2022-08-26,2,54
2022-08-26,3,102
2022-08-26,4,73
2022-08-26,5,59
2022-08-26,6,23
2022-08-26,7,19
2022-08-26,8,15
2022-08-26,9,14
2022-08-26,10,7
2022-08-26,11,5
2022-08-26,12,6
2022-08-26,13,13
2022-08-26,14,7
2022-08-26,15,7
2022-08-26,16,6
2022-09-30,0,52
2022-09-30,1,66
2022-09-30,2,54
2022-09-30,3,106
2022-09-30,4,81
2022-09-30,5,62
2022-09-30,6,24
2022-09-30,7,23
2022-09-30,8,17
2022-09-30,9,14
2022-09-30,10,6
2022-09-30,11,7
2022-09-30,12,7
2022-09-30,13,12
2022-09-30,14,9
2022-09-30,15,8
2022-09-30,16,7
2022-10-28,0,53
2022-10-28,1,67
2022-10-28,2,56
2022-10-28,3,106
2022-10-28,4,81
2022-10-28,5,63
2022-10-28,6,26
2022-10-28,7,23
2022-10-28,8,17
2022-10-28,9,14
2022-10-28,10,6
2022-10-28,11,7
2022-10-28,12,7
2022-10-28,13,12
2022-10-28,14,9
2022-10-28,15,8
2022-10-28,16,8
2022-11-25,0,55
2022-11-25,1,69
2022-11-25,2,57
2022-11-25,3,106
2022-11-25,4,82
2022-11-25,5,63
2022-11-25,6,26
2022-11-25,7,24
2022-11-25,8,18
2022-11-25,9,14
2022-11-25,10,6
2022-11-25,11,8
2022-11-25,12,7
2022-11-25,13,12
2022-11-25,14,9
2022-11-25,15,8
2022-11-25,16,8
