"data_bulletin","week","cases","cumulative"
"13/05/22","2021-43",1,1
"13/05/22","2021-44",0,1
"13/05/22","2021-45",0,1
"13/05/22","2021-46",0,1
"13/05/22","2021-47",0,1
"13/05/22","2021-48",0,1
"13/05/22","2021-49",0,1
"13/05/22","2021-50",0,1
"13/05/22","2021-51",0,1
"13/05/22","2021-52",0,1
"13/05/22","2022-01",0,1
"13/05/22","2022-02",1,2
"13/05/22","2022-03",0,2
"13/05/22","2022-04",0,2
"13/05/22","2022-05",0,2
"13/05/22","2022-06",0,2
"13/05/22","2022-07",0,2
"13/05/22","2022-08",0,2
"13/05/22","2022-09",1,3
"20/05/22","2021-39",1,1
"20/05/22","2021-40",0,1
"20/05/22","2021-41",0,1
"20/05/22","2021-42",1,2
"20/05/22","2021-43",1,3
"20/05/22","2021-44",1,4
"20/05/22","2021-45",1,5
"20/05/22","2021-46",0,5
"20/05/22","2021-47",0,5
"20/05/22","2021-48",4,9
"20/05/22","2021-49",0,9
"20/05/22","2021-50",0,9
"20/05/22","2021-51",2,11
"20/05/22","2021-52",5,16
"20/05/22","2022-01",7,23
"20/05/22","2022-02",8,31
"20/05/22","2022-03",6,37
"20/05/22","2022-04",10,47
"20/05/22","2022-05",9,56
"20/05/22","2022-06",7,63
"20/05/22","2022-07",11,74
"20/05/22","2022-08",6,80
"20/05/22","2022-09",12,92
"20/05/22","2022-10",14,106
"20/05/22","2022-11",13,119
"20/05/22","2022-12",27,146
"20/05/22","2022-13",27,173
"20/05/22","2022-14",22,195
"20/05/22","2022-15",22,217
"20/05/22","2022-16",22,239
"20/05/22","2022-17",21,260
"20/05/22","2022-18",13,273
"20/05/22","2022-19",1,274
"31/05/22","2021-39",1,1
"31/05/22","2021-40",0,1
"31/05/22","2021-41",0,1
"31/05/22","2021-42",1,2
"31/05/22","2021-43",1,3
"31/05/22","2021-44",1,4
"31/05/22","2021-45",1,5
"31/05/22","2021-46",0,5
"31/05/22","2021-47",0,5
"31/05/22","2021-48",4,9
"31/05/22","2021-49",0,9
"31/05/22","2021-50",0,9
"31/05/22","2021-51",2,11
"31/05/22","2021-52",6,17
"31/05/22","2022-01",8,25
"31/05/22","2022-02",8,33
"31/05/22","2022-03",6,39
"31/05/22","2022-04",10,49
"31/05/22","2022-05",9,58
"31/05/22","2022-06",7,65
"31/05/22","2022-07",12,77
"31/05/22","2022-08",7,84
"31/05/22","2022-09",15,99
"31/05/22","2022-10",14,113
"31/05/22","2022-11",12,125
"31/05/22","2022-12",27,152
"31/05/22","2022-13",28,180
"31/05/22","2022-14",20,200
"31/05/22","2022-15",25,225
"31/05/22","2022-16",25,250
"31/05/22","2022-17",25,275
"31/05/22","2022-18",17,292
"31/05/22","2022-19",8,300
"31/05/22","2022-20",2,302
"31/05/22","2022-21",1,303
"10/06/22","2021-39",1,1
"10/06/22","2021-40",0,1
"10/06/22","2021-41",0,1
"10/06/22","2021-42",1,2
"10/06/22","2021-43",1,3
"10/06/22","2021-44",1,4
"10/06/22","2021-45",1,5
"10/06/22","2021-46",0,5
"10/06/22","2021-47",0,5
"10/06/22","2021-48",4,9
"10/06/22","2021-49",0,9
"10/06/22","2021-50",2,11
"10/06/22","2021-51",1,12
"10/06/22","2021-52",3,15
"10/06/22","2022-01",8,23
"10/06/22","2022-02",9,32
"10/06/22","2022-03",8,40
"10/06/22","2022-04",11,51
"10/06/22","2022-05",9,60
"10/06/22","2022-06",8,68
"10/06/22","2022-07",12,80
"10/06/22","2022-08",7,87
"10/06/22","2022-09",17,104
"10/06/22","2022-10",17,121
"10/06/22","2022-11",18,139
"10/06/22","2022-12",36,175
"10/06/22","2022-13",33,208
"10/06/22","2022-14",24,232
"10/06/22","2022-15",31,263
"10/06/22","2022-16",31,294
"10/06/22","2022-17",37,331
"10/06/22","2022-18",30,361
"10/06/22","2022-19",20,381
"10/06/22","2022-20",15,396
"10/06/22","2022-21",3,399
"17/06/22","2021-39",1,1
"17/06/22","2021-40",0,1
"17/06/22","2021-41",0,1
"17/06/22","2021-42",1,2
"17/06/22","2021-43",1,3
"17/06/22","2021-44",1,4
"17/06/22","2021-45",1,5
"17/06/22","2021-46",0,5
"17/06/22","2021-47",0,5
"17/06/22","2021-48",4,9
"17/06/22","2021-49",0,9
"17/06/22","2021-50",2,11
"17/06/22","2021-51",1,12
"17/06/22","2021-52",3,15
"17/06/22","2022-01",8,23
"17/06/22","2022-02",9,32
"17/06/22","2022-03",9,41
"17/06/22","2022-04",11,52
"17/06/22","2022-05",10,62
"17/06/22","2022-06",8,70
"17/06/22","2022-07",12,82
"17/06/22","2022-08",8,90
"17/06/22","2022-09",19,109
"17/06/22","2022-10",17,126
"17/06/22","2022-11",19,145
"17/06/22","2022-12",38,183
"17/06/22","2022-13",33,216
"17/06/22","2022-14",27,243
"17/06/22","2022-15",31,274
"17/06/22","2022-16",36,310
"17/06/22","2022-17",39,349
"17/06/22","2022-18",32,381
"17/06/22","2022-19",21,402
"17/06/22","2022-20",23,425
"17/06/22","2022-21",13,438
"17/06/22","2022-22",4,442
"17/06/22","2022-23",1,443
"17/06/22","2022-24",3,446
"01/07/22","2021-39",1,1
"01/07/22","2021-40",0,1
"01/07/22","2021-41",0,1
"01/07/22","2021-42",1,2
"01/07/22","2021-43",1,3
"01/07/22","2021-44",1,4
"01/07/22","2021-45",1,5
"01/07/22","2021-46",0,5
"01/07/22","2021-47",0,5
"01/07/22","2021-48",4,9
"01/07/22","2021-49",1,10
"01/07/22","2021-50",2,12
"01/07/22","2021-51",1,13
"01/07/22","2021-52",4,17
"01/07/22","2022-01",8,25
"01/07/22","2022-02",8,33
"01/07/22","2022-03",8,41
"01/07/22","2022-04",10,51
"01/07/22","2022-05",10,61
"01/07/22","2022-06",8,69
"01/07/22","2022-07",12,81
"01/07/22","2022-08",8,89
"01/07/22","2022-09",19,108
"01/07/22","2022-10",18,126
"01/07/22","2022-11",17,143
"01/07/22","2022-12",38,181
"01/07/22","2022-13",33,214
"01/07/22","2022-14",29,243
"01/07/22","2022-15",33,276
"01/07/22","2022-16",36,312
"01/07/22","2022-17",40,352
"01/07/22","2022-18",31,383
"01/07/22","2022-19",22,405
"01/07/22","2022-20",24,429
"01/07/22","2022-21",16,445
"01/07/22","2022-22",6,451
"01/07/22","2022-23",9,460
"01/07/22","2022-24",8,468
"01/07/22","2022-25",2,470
"29/07/22","2021-39",1,1
"29/07/22","2021-40",0,1
"29/07/22","2021-41",0,1
"29/07/22","2021-42",1,2
"29/07/22","2021-43",1,3
"29/07/22","2021-44",0,3
"29/07/22","2021-45",1,4
"29/07/22","2021-46",0,4
"29/07/22","2021-47",0,4
"29/07/22","2021-48",4,8
"29/07/22","2021-49",0,8
"29/07/22","2021-50",2,10
"29/07/22","2021-51",1,11
"29/07/22","2021-52",4,15
"29/07/22","2022-01",8,23
"29/07/22","2022-02",8,31
"29/07/22","2022-03",8,39
"29/07/22","2022-04",10,49
"29/07/22","2022-05",10,59
"29/07/22","2022-06",8,67
"29/07/22","2022-07",12,79
"29/07/22","2022-08",7,86
"29/07/22","2022-09",17,103
"29/07/22","2022-10",16,119
"29/07/22","2022-11",18,137
"29/07/22","2022-12",37,174
"29/07/22","2022-13",31,205
"29/07/22","2022-14",28,233
"29/07/22","2022-15",34,267
"29/07/22","2022-16",37,304
"29/07/22","2022-17",39,343
"29/07/22","2022-18",32,375
"29/07/22","2022-19",21,396
"29/07/22","2022-20",24,420
"29/07/22","2022-21",20,440
"29/07/22","2022-22",10,450
"29/07/22","2022-23",17,467
"29/07/22","2022-24",13,480
"29/07/22","2022-25",7,487
"29/07/22","2022-26",9,496
"29/07/22","2022-27",7,503
"29/07/22","2022-28",0,503
"29/07/22","2022-29",2,505
"26/08/22","2021-39",1,1
"26/08/22","2021-40",0,1
