"data_bulletin","week","country","cases","cumulative"
2022-06-17,"2021-39","Austria",0,0
2022-06-17,"2021-40","Austria",0,0
2022-06-17,"2021-41","Austria",0,0
2022-06-17,"2021-42","Austria",0,0
2022-06-17,"2021-43","Austria",0,0
2022-06-17,"2021-44","Austria",0,0
2022-06-17,"2021-45","Austria",0,0
2022-06-17,"2021-46","Austria",0,0
2022-06-17,"2021-47","Austria",0,0
2022-06-17,"2021-48","Austria",0,0
2022-06-17,"2021-49","Austria",0,0
2022-06-17,"2021-50","Austria",0,0
2022-06-17,"2021-51","Austria",0,0
2022-06-17,"2021-52","Austria",0,0
2022-06-17,"2022-01","Austria",0,0
2022-06-17,"2022-02","Austria",0,0
2022-06-17,"2022-03","Austria",0,0
2022-06-17,"2022-04","Austria",0,0
2022-06-17,"2022-05","Austria",0,0
2022-06-17,"2022-06","Austria",1,1
2022-06-17,"2022-07","Austria",0,1
2022-06-17,"2022-08","Austria",0,1
2022-06-17,"2022-09","Austria",0,1
2022-06-17,"2022-10","Austria",0,1
2022-06-17,"2022-11","Austria",0,1
2022-06-17,"2022-12","Austria",0,1
2022-06-17,"2022-13","Austria",0,1
2022-06-17,"2022-14","Austria",0,1
2022-06-17,"2022-15","Austria",1,2
2022-06-17,"2022-16","Austria",0,2
2022-06-17,"2022-17","Austria",0,2
2022-06-17,"2022-18","Austria",0,2
2022-06-17,"2022-19","Austria",0,2
2022-06-17,"2022-20","Austria",0,2
2022-06-17,"2022-21","Austria",1,3
2022-06-17,"2022-22","Austria",0,3
2022-06-17,"2022-23","Austria",0,3
2022-06-17,"2022-24","Austria",0,3
2022-07-01,"2021-39","Austria",0,0
2022-07-01,"2021-40","Austria",0,0
2022-07-01,"2021-41","Austria",0,0
2022-07-01,"2021-42","Austria",0,0
2022-07-01,"2021-43","Austria",0,0
2022-07-01,"2021-44","Austria",0,0
2022-07-01,"2021-45","Austria",0,0
2022-07-01,"2021-46","Austria",0,0
2022-07-01,"2021-47","Austria",0,0
2022-07-01,"2021-48","Austria",0,0
2022-07-01,"2021-49","Austria",0,0
2022-07-01,"2021-50","Austria",0,0
2022-07-01,"2021-51","Austria",0,0
