"data_bulletin","sex","cases"
2022-05-13,"Female",121
2022-05-13,"Male",110
2022-05-13,"Unknown",1
2022-05-20,"Female",134
2022-05-20,"Male",125
2022-05-20,"Unknown",17
2022-05-31,"Female",151
2022-05-31,"Male",134
2022-05-31,"Unknown",20
2022-06-10,"Female",201
2022-06-10,"Male",181
2022-06-10,"Unknown",20
2022-06-17,"Female",215
2022-06-17,"Male",189
2022-06-17,"Unknown",45
2022-07-01,"Female",233
2022-07-01,"Male",211
2022-07-01,"Unknown",29
2022-07-29,"Female",255
2022-07-29,"Male",224
2022-07-29,"Unknown",28
2022-08-26,"Female",258
2022-08-26,"Male",227
2022-08-26,"Unknown",28
2022-09-30,"Female",278
2022-09-30,"Male",247
2022-09-30,"Unknown",29
2022-10-28,"Female",283
2022-10-28,"Male",249
2022-10-28,"Unknown",31
2022-11-25,"Female",284
2022-11-25,"Male",257
2022-11-25,"Unknown",30
