"ID","tested","n_positive","perc_positive","n_negative","perc_negative","n_indeterminate","perc_indeterminate"
"SARS-CoV-2",292,31,10.6,260,89,1,0.3
"CMV",234,20,8.5,213,91,1,0.4
"EBV",219,39,17.8,178,81.3,2,0.9
"Adenovirus",313,164,52.4,149,47.6,NA,NA
"HSV1",138,3,2.2,134,97.1,1,0.7
"RSV",122,5,4.1,117,95.9,NA,NA
"Parvovirus",103,2,1.9,101,98.1,NA,NA
"Influenzavirus",86,3,3.5,83,96.5,NA,NA
"HHV6",109,26,23.9,82,75.2,1,0.9
"HIV",61,NA,NA,61,100,NA,NA
"Varicella",61,1,1.6,60,98.4,NA,NA
"Mycoplasma",56,2,3.6,53,94.6,1,1.8
"HHV7",74,26,35.1,48,64.9,NA,NA
"Enterovirus",53,10,18.9,43,81.1,NA,NA
"Leptospira",32,NA,NA,32,100,NA,NA
"Parainfluenza",21,NA,NA,21,100,NA,NA
"Legionella",10,NA,NA,10,100,NA,NA
"Bocavirus",9,1,11.1,8,88.9,NA,NA
"HPeV",5,NA,NA,5,100,NA,NA
"ASOT",5,1,20,4,80,NA,NA
